Sl. No.,State/UT,Functional Courts - FTSCs Including exclusive POCSO,Functional Courts - Exclusive POCSO,No. of Cases Pending at the end of the Month - Combined FTSCs - Rape,No. of Cases Pending at the end of the Month - Combined FTSCs - POCSO,No. of Cases Pending at the end of the Month - Combined FTSCs - Total,No. of Cases Pending at the end of the Month - Exclusive POCSO,Cumulative Pendency
1,Andhra Pradesh,16,16,0,0,0,6594,6594
2,Assam,17,17,0,0,0,6030,6030
3,Bihar,46,46,0,0,0,19172,19172
4,Chandigarh,1,0,67,161,228,0,228
5,Chhattisgarh,15,11,101,224,325,1626,1951
6,Delhi,16,11,1060,0,1060,2626,3686
7,Goa,1,0,87,59,146,0,146
8,Gujarat,35,24,912,662,1574,4375,5949
9,Haryana,16,12,385,961,1346,3147,4493
10,Himachal Pradesh,6,3,95,244,339,290,629
11,Jammu and Kashmir,4,2,179,0,179,312,491
12,Jharkhand,22,16,641,555,1196,3099,4295
13,Karnataka,31,17,211,1726,1937,3651,5588
14,Kerala,55,14,1097,3822,4919,1716,6635
15,Madhya Pradesh,67,57,2527,327,2854,7212,10066
16,Maharashtra,8,4,62,788,850,901,1751
17,Manipur,2,0,2,67,69,0,69
18,Meghalaya,5,5,0,0,0,1046,1046
19,Mizoram,3,1,4,39,43,34,77
20,Nagaland,1,0,4,44,48,0,48
21,Odisha,44,23,1052,2572,3624,6199,9823
22,Puducherry,1,1,0,0,0,209,209
23,Punjab,12,3,356,705,1061,567,1628
24,Rajasthan,45,30,201,921,1122,4612,5734
25,Tamil Nadu,14,14,0,0,0,4400,4400
26,Telangana,36,0,216,8308,8524,0,8524
27,Tripura,3,1,102,29,131,87,218
28,Uttarakhand,4,0,341,648,989,0,989
29,Uttar Pradesh,218,74,7285,22813,30098,59174,89272
30,West Bengal,6,6,0,0,0,4045,4045
31,Andaman and Nicobar Islands,NA,NA,NA,NA,NA,NA,NA
32,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA
Total,Total,750,408,16987,45675,62662,141124,203786
