Sl. No.,Name of High Court,Number of Pending Cases
1,Allahabad,1160169
2,Bombay,657162
3,Calcutta,199234
4,Gauhati,64322
5,Telangana,244955
6,Andhra Pradesh,246464
7,Chhattisgarh,82569
8,Delhi,132576
9,Gujarat,172940
10,Himachal Pradesh,95371
11,Jammu and Kashmir andLadakh,45399
12,Jharkhand,73256
13,Karnataka,307948
14,Kerala,250820
15,Madhya Pradesh,474276
16,Manipur,5402
17,Meghalaya,1275
18,Punjab and Haryana,428427
19,Rajasthan,671024
20,Sikkim,223
21,Tripura,1050
22,Uttarakhand,56151
23,Madras,522007
24,Orissa,150274
25,Patna,207040
Total,Total,6250334
