Sl. No.,State/UT,Functional Courts - FTSCs including exclusive POCSO,Functional Courts - Exclusive POCSO,Cumulative Disposal since the inception of the Scheme - FTSCs,Cumulative Disposal since the inception of the Scheme - Exclusive POCSO,Cumulative Disposal since the inception of the Scheme - Total
1,Andhra Pradesh,16,16,0,6221,6221
2,Assam,17,17,0,7664,7664
3,Bihar,46,46,0,14495,14495
4,Chandigarh,1,0,317,0,317
5,Chhattisgarh,15,11,1131,4611,5742
6,Delhi,16,11,676,1660,2336
7,Goa,1,0,61,34,95
8,Gujarat,35,24,2852,11671,14523
9,Haryana,16,12,1815,5438,7253
10,Himachal Pradesh,6,3,531,749,1280
11,Jammu and Kashmir,4,2,112,151,263
12,Jharkhand,22,16,2550,5585,8135
13,Karnataka,30,17,4721,7729,12450
14,Kerala,55,14,15987,7215,23202
15,Madhya Pradesh,67,57,4432,25333,29765
16,Maharashtra,6,2,8635,11988,20623
17,Manipur,2,0,172,0,172
18,Meghalaya,5,5,0,647,647
19,Mizoram,3,1,176,66,242
20,Nagaland,1,0,65,3,68
21,Odisha,44,23,6237,11470,17707
22,Puducherry,1,1,0,122,122
23,Punjab,12,3,2424,2268,4692
24,Rajasthan,45,30,5251,12040,17291
25,Tamil Nadu,14,14,0,8898,8898
26,Telangana,36,0,7567,2731,10298
27,Tripura,3,1,230,208,438
28,Uttarakhand,4,0,1792,0,1792
29,Uttar Pradesh,218,74,40257,42404,82661
30,West Bengal,6,6,0,232,232
31,Andaman and Nicobar Islands,0,0,0,0,0
32,Arunachal Pradesh,0,0,0,0,0
Total,Total,747,406,107991,191633,299624
