Sl. No.,State/UT-wise,Functional Courts - FTSCs including ePOCSO,Functional Courts - ePOCSO,Cumulative Disposal since the inception of the Scheme - FTSCs,Cumulative Disposal since the inception of the Scheme - ePOCSO,Cumulative Disposal since the inception of the Scheme - Total
1,Andhra Pradesh,16,16,0,6463,6463
2,Assam,17,17,0,7862,7862
3,Bihar,46,46,0,15059,15059
4,Chandigarh,1,0,329,0,329
5,Chhattisgarh,15,11,1164,4717,5881
6,Delhi,16,11,694,1721,2415
7,Goa,1,0,62,34,96
8,Gujarat,35,24,2966,11894,14860
9,Haryana,16,12,1848,5561,7409
10,Himachal Pradesh,6,3,540,756,1296
11,Jammu and Kashmir,4,2,115,157,272
12,Jharkhand,22,16,2617,5765,8382
13,Karnataka,30,17,4855,7876,12731
14,Kerala,55,14,16248,7345,23593
15,Madhya Pradesh,67,56,4535,25656,30191
16,Maharashtra,4,1,8660,11993,20653
17,Manipur,2,0,176,0,176
18,Meghalaya,5,5,0,659,659
19,Mizoram,3,1,180,67,247
20,Nagaland,1,0,65,3,68
21,Odisha,44,23,6425,11761,18186
22,Puducherry,1,1,0,127,127
23,Punjab,12,3,2496,2323,4819
24,Rajasthan,45,30,5351,12347,17698
25,Tamil Nadu,14,14,0,9297,9297
26,Telangana,36,0,7768,2731,10499
27,Tripura,3,1,232,211,443
28,Uttarakhand,4,0,1829,0,1829
29,Uttar Pradesh,218,74,41238,43564,84802
30,West Bengal,6,6,0,262,262
31,Andaman and Nicobar Islands,0,0,0,0,0
32,Arunachal Pradesh,0,0,0,0,0
Total,Total,745,404,110393,196211,306604
